condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_BACK_NARROWING,JM,5,197,0.006398274196673692,0.006438831104507159,0.5989847715736041,-0.05196227165247236,local_evidence
HIGH_PRICE_BACK_NARROWING,JM,10,197,0.004568757011549843,0.006528417818740362,0.5532994923857868,-0.09001612064222114,local_evidence
HIGH_PRICE_BACK_NARROWING,JM,20,197,-0.004100626411240228,0.0046274872744100914,0.5431472081218274,-0.1417413699142245,local_evidence
HIGH_PRICE_BACK_NARROWING,JM,40,197,-0.0001623954662136736,0.014421252371916493,0.5431472081218274,-0.16160137004887987,local_evidence
HIGH_PRICE_BACK_NARROWING,LC,1,64,0.005397675437605474,0.01147924412357293,0.578125,-0.10858122711077257,local_evidence
HIGH_PRICE_BACK_NARROWING,LC,5,64,0.021927202303915518,0.016129455562116535,0.578125,-0.1589416425960394,local_evidence
HIGH_PRICE_BACK_NARROWING,LC,10,64,0.0400680633031807,0.04153601619039404,0.59375,-0.15403833000942685,local_evidence
HIGH_PRICE_BACK_NARROWING,LC,20,64,0.056919300182816296,0.03149017615576366,0.515625,-0.19187700280422026,local_evidence
HIGH_PRICE_BACK_NARROWING,LC,40,64,0.14688463108755156,0.03522628694229213,0.5625,-0.20583488956387994,local_evidence
HIGH_PRICE_BACK_NARROWING,PS,1,47,0.0014455831388409466,-0.00036944675348660194,0.48936170212765956,-0.04700112644082671,local_evidence
HIGH_PRICE_BACK_NARROWING,PS,5,47,-0.003933793099266946,-0.012930636372032844,0.44680851063829785,-0.13632448390685498,local_evidence
HIGH_PRICE_BACK_NARROWING,PS,10,47,-0.012492134610021318,-0.009315016936394471,0.44680851063829785,-0.15435741004929393,local_evidence
HIGH_PRICE_BACK_NARROWING,PS,20,47,-0.026261744996590602,0.0022581859239743096,0.5319148936170213,-0.17880407586783298,local_evidence
HIGH_PRICE_BACK_NARROWING,PS,40,47,-0.05635405392912725,-0.022034061387472326,0.3617021276595745,-0.279602438071578,local_evidence
HIGH_PRICE_BACK_NARROWING,RB,1,208,0.0014065120565307189,0.0011980381786053096,0.5336538461538461,-0.02065915228060094,local_evidence
HIGH_PRICE_BACK_NARROWING,RB,5,208,0.004592698548833031,0.005620983012709302,0.5817307692307693,-0.04605866399401677,local_evidence
HIGH_PRICE_BACK_NARROWING,RB,10,208,0.008774128506832624,0.00965115472109701,0.6009615384615384,-0.057924949982191234,local_evidence
HIGH_PRICE_BACK_NARROWING,RB,20,208,0.007559212936096815,0.007377994783803188,0.5384615384615384,-0.09490298735200993,local_evidence
